project,TARGET_CLASS,test-name,cohesion,coupling
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test04,0.6624184465666447,0.33658516451367865
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test05,0.5,0.2640391784511414
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test06,0.5863475786179109,0.25437735364389324
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test07,0.5,0.3162504097347037
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test08,0.6487483873102715,0.353105909286244
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test09,0.5,0.4287185175173035
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test10,0.6666666666666667,0.06728762052866914
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test11,0.6504840204165685,0.32689803226220004
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test12,0.5,0.3164728262570618
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test13,0.5,0.06512631685727766
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test14,0.5,0.06157804798921456
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test15,0.5,0.35349723465376665
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test16,0.5,0.10023020184449936
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test17,0.5707117284788135,0.38848640975171506
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test18,0.6324327564743331,0.13998137506628547
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test19,0.6437533638675363,0.4287185175173035
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test20,0.6220249015330477,0.22003734155537627
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test21,0.6240138055893756,0.34933650277507766
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test22,0.6377630970414894,0.3566096365875904
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test23,0.5,0.4287185175173035
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test24,0.592246250726703,0.10709235260829057
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test25,0.5,0.11974120925753241
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test26,0.5,0.4287185175173035
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test27,0.5690495744958117,0.08315721034124923
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test28,0.5273240662383782,0.10903552310967202
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test29,0.634336623738172,0.27506468918775046
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test30,0.5690495744958117,0.028268145191657486
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test31,0.5,0.24442044118700515
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test32,0.5,0.12773517068548093
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test33,0.5,0.1518846459496993
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test34,0.5,0.2990505903185749
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test35,0.5,0.11065241312782727
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test36,0.5959913173926448,0.32657126680820264
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test37,0.5,0.2013564235997555
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test38,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test00,0.6666666666666667,0.18410644528801437
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test01,0.5,0.4700121468092388
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test02,0.6189924097135937,0.3160169794284505
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test03,0.6666666666666667,0.4217683257045942
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test04,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test05,0.6666666666666667,0.4371174241349349
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test06,0.5,0.09834443607467555
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test07,0.6666666666666667,0.40066581414199315
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test08,0.5,0.34191533143025316
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test09,0.6229071745666401,0.27723235824703063
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test10,0.5,0.4700121468092388
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test11,0.6941287319474472,0.3473517445202767
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test12,0.6721549621897371,0.37642209786200553
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test13,0.5,0.3591395445573348
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test14,0.5979393879438066,0.4700121468092388
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test15,0.7124576290323088,0.3821324562324687
