project,test-suite,test-method,production-class,isEagerTest
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test07,macaw.businessLayer.Variable,0.15942028985507245
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test08,macaw.businessLayer.Variable,0.07246376811594203
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test09,macaw.businessLayer.Variable,0.14492753623188406
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test10,macaw.businessLayer.Variable,0.028985507246376812
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test11,macaw.businessLayer.Variable,0.14492753623188406
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test12,macaw.businessLayer.Variable,0.14492753623188406
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test13,macaw.businessLayer.Variable,0.057971014492753624
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test14,macaw.businessLayer.Variable,0.18840579710144928
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test15,macaw.businessLayer.Variable,0.13043478260869565
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test16,macaw.businessLayer.Variable,0.028985507246376812
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test17,macaw.businessLayer.Variable,0.08695652173913043
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test18,macaw.businessLayer.Variable,0.14492753623188406
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test19,macaw.businessLayer.Variable,0.07246376811594203
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test20,macaw.businessLayer.Variable,0.10144927536231885
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test0,macaw.businessLayer.SupportingDocument,0.55
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test1,macaw.businessLayer.SupportingDocument,0.3
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test2,macaw.businessLayer.SupportingDocument,0.2
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test3,macaw.businessLayer.SupportingDocument,0.35
