TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,140,4,2238,214,215,706115,25,25,477,477,1014,0.6730769230769231,2.8561802807297942
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,132,5,3644,261,262,682286,26,26,493,493,1000,0.6346153846153846,2.9417725933776318
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,136,3,1698,183,184,722809,17,17,349,349,1016,0.6538461538461539,3.0355524193506227
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,139,5,2769,275,276,669683,27,27,416,416,1008,0.6682692307692307,2.9727496831352216
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,124,2,1334,134,135,673029,17,17,281,281,1027,0.5961538461538461,2.9744613891577782
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,139,5,3718,283,284,679149,32,32,646,646,1026,0.6682692307692307,2.98094383126584
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,131,4,2951,212,213,687441,27,27,513,513,1013,0.6298076923076923,2.9686058062572207
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,141,4,3261,237,238,685956,23,23,342,342,1018,0.6778846153846154,2.9276058235360263
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,138,3,2009,170,171,673004,25,25,517,517,1011,0.6634615384615384,2.8318864577592637
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,139,2,1927,144,145,675526,21,21,447,447,1012,0.6682692307692307,2.9217764970719893
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,125,2,1700,140,141,678296,22,22,344,344,1006,0.6009615384615384,2.960789027608556
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,115,3,2000,176,177,670528,19,19,376,376,1022,0.5528846153846154,3.003243285315891
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,137,2,1862,131,132,675338,21,21,331,331,1004,0.6586538461538461,2.8062560810313033
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,148,7,5411,371,372,687795,27,27,472,472,1007,0.7115384615384616,2.9992779754724217
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,141,2,2345,143,144,656697,17,17,342,342,1019,0.6778846153846154,2.8782745740099753
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,138,5,3935,292,293,665483,22,22,312,312,1020,0.6634615384615384,3.0137098179219635
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,145,5,2921,267,268,683180,24,24,457,457,1029,0.6971153846153846,3.007978263663148
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,146,3,2315,157,158,686973,22,22,427,427,1025,0.7019230769230769,2.9821999261343137
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,147,6,3389,344,345,679994,33,33,447,447,1024,0.7067307692307693,2.8845121877899063
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,144,5,3783,260,261,670092,25,25,427,427,1003,0.6923076923076923,2.8590158216423145
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,133,3,2071,185,186,669067,18,18,358,358,1017,0.6394230769230769,3.0332321454569566
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,146,6,3573,313,314,684010,30,30,472,472,1023,0.7019230769230769,2.9523418835535518
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,149,3,2586,176,177,682902,24,24,424,424,1028,0.7163461538461539,3.011338249757317
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,145,4,2114,217,218,683896,31,31,473,473,1005,0.6971153846153846,2.8259760259779667
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,135,3,1672,158,159,671863,24,24,363,363,1021,0.6490384615384616,2.947659960720644
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,144,3,2259,193,194,684033,34,34,571,571,1001,0.6923076923076923,2.8268521180356947
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,145,6,4786,356,357,670615,29,29,443,443,1010,0.6971153846153846,2.8273367917040675
accessories.plugins.time.JDayChooser,BRANCH,QMOSA,208,170,61,146,4,3216,237,238,682464,26,26,407,407,1002,0.7019230769230769,3.0012442116949867
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,54,10063,2819,2820,648209,4,4,105,105,1011,0.4666666666666667,0.7803552045207032
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,5,43,8584,2202,2203,657091,3,3,58,58,1022,0.3333333333333333,0.8283022165960001
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,42,17409,2232,2233,650629,3,3,84,84,1024,0.4666666666666667,0.9634572526320548
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,49,15165,2583,2584,648154,4,4,88,88,1023,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,6,53,27127,2782,2783,654193,4,4,28,28,1002,0.4,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,6,53,17991,2766,2767,644030,4,4,101,101,1009,0.4,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,59,19721,3061,3062,650245,3,3,38,38,1017,0.4666666666666667,0.8094245458409559
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,46,10551,2384,2385,651088,4,4,77,77,1000,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,46,8886,2428,2429,644820,4,4,62,62,1015,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,36,13461,1926,1927,644555,4,4,80,80,1021,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,63,9461,3310,3311,649534,4,4,75,75,1008,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,52,19060,2748,2749,652029,4,4,66,66,1012,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,69,13499,3643,3644,642854,3,3,28,28,1029,0.4666666666666667,0.9241962407465936
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,78,16217,4129,4130,641012,4,4,71,71,1003,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,63,15202,3326,3327,639876,4,4,41,41,1028,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,54,11524,2837,2838,655990,4,4,37,37,1020,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,49,11926,2541,2542,647030,3,3,49,49,1005,0.4666666666666667,0.8094245458409559
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,64,11867,3359,3360,645068,4,4,54,54,1013,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,86,9505,4505,4506,650530,4,4,59,59,1019,0.4666666666666667,0.7803552045207032
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,51,8267,2672,2673,649885,4,4,109,109,1016,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,6,57,25723,3013,3014,647490,4,4,33,33,1007,0.4,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,54,12029,2841,2842,650845,4,4,48,48,1018,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,52,15541,2742,2743,656785,3,3,64,64,1001,0.4666666666666667,0.9634572526320548
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,51,12903,2653,2654,643527,3,3,78,78,1006,0.4666666666666667,0.8094245458409559
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,60,30358,3125,3126,648762,4,4,66,66,1026,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,55,7529,2892,2893,641131,3,3,34,34,1014,0.4666666666666667,0.9241962407465936
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,81,13830,4252,4253,649989,3,3,33,33,1027,0.4666666666666667,0.9241962407465936
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,40,15764,2067,2068,654025,4,4,77,77,1004,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,64,14831,3337,3338,649915,4,4,83,83,1025,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,QMOSA,15,12,5,7,81,16743,4248,4249,650042,4,4,68,68,1010,0.4666666666666667,0.7945134575869863
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,11,14120,580,581,205532,11,11,257,257,1000,1.0,1.5415366577992005
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,24,32211,1240,1241,621493,14,14,290,290,1005,1.0,1.6978240088903624
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,56,29,41698,1364,1365,633827,10,10,220,220,1010,0.9655172413793104,1.7158797683425238
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,11,15174,620,621,242926,13,13,240,240,1019,1.0,1.606288508211951
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,8,12050,436,437,229195,12,12,315,315,1008,1.0,1.6711165923932256
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,16,22186,861,862,423633,12,12,273,273,1009,1.0,1.6821491690342
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,17,22001,886,887,341359,14,14,276,276,1017,1.0,1.6246042589979728
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,44,31,40636,1560,1561,530438,7,7,136,136,1014,0.7586206896551724,1.7733500096198236
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,7,10328,413,414,204258,10,10,194,194,1003,1.0,1.7459617832089631
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,16,21063,848,849,432815,12,12,223,223,1006,1.0,1.6143070906709036
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,57,28,41092,1411,1412,662678,10,10,232,232,1015,0.9827586206896552,1.5145274808380955
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,45,31,34150,1638,1639,616136,7,7,174,174,1016,0.7758620689655172,1.6553379793834682
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,16,19555,830,831,560776,10,10,255,255,1028,1.0,1.4698940940853686
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,6,7438,355,356,217251,18,18,307,307,1004,1.0,1.5503078005844273
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,56,22,33022,1043,1044,646454,13,13,280,280,1024,0.9655172413793104,1.6816928568359109
