TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
Services,BRANCH,MOSA,15,8,11,11,3041,2104508,160025,160026,215697,7,7,17,17,1014,0.7333333333333333,0.7348899067853595
Services,BRANCH,MOSA,15,8,11,11,3041,2372293,160025,160026,209207,7,7,15,15,1022,0.7333333333333333,0.7429803371089498
Services,BRANCH,MOSA,15,8,11,11,3041,2474054,159486,159487,233381,7,7,16,16,1021,0.7333333333333333,0.7510707674325402
Services,BRANCH,MOSA,15,8,11,11,3041,2723143,158435,158436,255933,6,6,16,16,1006,0.7333333333333333,0.7114601016906028
Services,BRANCH,MOSA,15,8,11,11,3041,2758137,159388,159389,232981,7,7,16,16,1010,0.7333333333333333,0.7429803371089498
Services,BRANCH,MOSA,15,8,11,11,3041,2747300,158468,158469,193117,7,7,16,16,1026,0.7333333333333333,0.7429803371089498
Services,BRANCH,MOSA,15,8,11,11,3041,2736786,158282,158283,205326,7,7,16,16,1019,0.7333333333333333,0.7429803371089498
Services,BRANCH,MOSA,15,8,11,11,3041,2716093,157659,157660,227810,6,6,16,16,1004,0.7333333333333333,0.8560539731041796
Services,BRANCH,MOSA,15,8,11,11,3041,2637223,158976,158977,279072,6,6,14,14,1018,0.7333333333333333,0.8654928084817017
Services,BRANCH,MOSA,15,8,11,11,3041,2791012,158018,158019,232789,7,7,16,16,1002,0.7333333333333333,0.6520497416382623
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,172,412,121514,21141,21142,315740,47,47,239,239,1013,0.8269230769230769,2.794360165485049
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,180,412,135784,21189,21190,338064,56,56,266,266,1017,0.8653846153846154,2.8282093954066228
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,179,412,132351,21013,21014,291947,57,57,221,221,1016,0.8605769230769231,2.822669320861521
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,180,412,131818,20956,20957,311182,58,58,282,282,1021,0.8653846153846154,2.816815435268008
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,180,412,129980,21092,21093,350107,57,57,261,261,1008,0.8653846153846154,2.8203152278068613
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,174,412,137498,21071,21072,309691,52,52,275,275,1012,0.8365384615384616,2.7657982085820496
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,173,412,127855,21106,21107,269991,55,55,272,272,1011,0.8317307692307693,2.7707019095333982
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,171,412,131562,21073,21074,285933,51,51,238,238,1019,0.8221153846153846,2.8354635106349524
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,181,412,135039,21078,21079,344974,53,53,249,249,1025,0.8701923076923077,2.8272743697556137
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,184,412,137484,21046,21047,318152,58,58,309,309,1014,0.8846153846153846,2.759335270812956
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,178,412,122875,21247,21248,351199,56,56,230,230,1005,0.8557692307692307,2.8282098669323337
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,172,412,137624,20921,20922,299943,52,52,242,242,1004,0.8269230769230769,2.759848338360124
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,168,412,132520,21067,21068,316194,54,54,256,256,1023,0.8076923076923077,2.779934832358768
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,181,412,137980,21105,21106,297552,50,50,280,280,1015,0.8701923076923077,2.7790126189262687
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,183,412,139489,20958,20959,302587,52,52,264,264,1006,0.8798076923076923,2.7492081979746263
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,180,412,136391,21083,21084,306450,56,56,330,330,1026,0.8653846153846154,2.828816717550765
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,179,412,129348,21134,21135,259101,51,51,261,261,1018,0.8605769230769231,2.8172061114575584
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,175,412,137341,21005,21006,320552,50,50,283,283,1024,0.8413461538461539,2.8365946753843185
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,180,412,130574,21218,21219,288318,58,58,286,286,1028,0.8653846153846154,2.765444561157134
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,171,412,126926,21108,21109,339434,50,50,247,247,1007,0.8221153846153846,2.78855977936512
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,170,412,143371,21089,21090,324615,51,51,268,268,1000,0.8173076923076923,2.857319174839976
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,179,412,133894,21107,21108,284645,53,53,240,240,1010,0.8605769230769231,2.8365385326626265
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,174,412,131287,21131,21132,312649,53,53,246,246,1022,0.8365384615384616,2.8198512107832365
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,177,412,135142,21079,21080,286803,53,53,255,255,1003,0.8509615384615384,2.767587636026644
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,184,412,136934,21028,21029,289644,63,63,275,275,1020,0.8846153846153846,2.7689048008613137
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,171,412,128345,21106,21107,298920,51,51,219,219,1027,0.8221153846153846,2.7838101197263416
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,179,412,132518,21156,21157,266938,55,55,272,272,1002,0.8605769230769231,2.8102628895316086
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,171,412,132007,21067,21068,344267,58,58,279,279,1001,0.8221153846153846,2.8052586860319133
accessories.plugins.time.JDayChooser,BRANCH,MOSA,208,170,61,178,412,128718,21052,21053,331011,50,50,278,278,1009,0.8557692307692307,2.822952932107776
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,95844,36253,36254,193395,4,4,17,17,1027,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,65004,36252,36253,429004,4,4,20,20,1023,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,73901,36238,36239,273748,4,4,19,19,1018,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,70275,36317,36318,236938,4,4,16,16,1008,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,94557,35796,35797,363582,4,4,22,22,1022,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,98018,36263,36264,241530,4,4,16,16,1026,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,112449,36176,36177,289895,4,4,19,19,1028,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,104507,36049,36050,258137,4,4,16,16,1013,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,91280,36323,36324,188974,4,4,19,19,1001,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,79241,36224,36225,201729,4,4,18,18,1005,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,72003,36336,36337,389057,4,4,16,16,1007,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,75429,36158,36159,402457,4,4,18,18,1017,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,158883,36520,36521,93991,4,4,24,24,1010,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,71542,36162,36163,206386,4,4,19,19,1020,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,70413,36097,36098,175862,4,4,25,25,1014,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,120976,35937,35938,441610,4,4,20,20,1015,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,125564,35986,35987,514878,4,4,18,18,1000,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,82499,35946,35947,311890,4,4,19,19,1016,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,95143,35876,35877,524579,4,4,19,19,1009,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,167497,36471,36472,158192,4,4,18,18,1029,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,74424,36303,36304,250466,4,4,19,19,1012,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,56067,36336,36337,99546,4,4,25,25,1003,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,70516,36251,36252,154297,4,4,18,18,1019,0.4666666666666667,0.8958797346140275
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,136010,36419,36420,309652,4,4,22,22,1025,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,MOSA,15,12,5,7,699,65047,36323,36324,146964,4,4,24,24,1021,0.4666666666666667,0.8958797346140275
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,17,17209,901,902,171395,14,14,153,153,1013,1.0,1.5803867657441109
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,15,21070,712,713,131713,11,11,175,175,1001,1.0,1.584958839443616
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,10,13034,559,560,122607,13,13,210,210,1008,1.0,1.474573408055058
