TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,173,412,403771,20484,24422,348646,55,55,600,600,1003,0.8317307692307693,2.868561336699821
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,184,412,328823,20832,25545,427640,60,60,660,660,1008,0.8846153846153846,2.8416964530947637
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,179,412,354062,20575,24559,377678,55,55,560,560,1027,0.8605769230769231,2.828986322424891
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,172,412,466279,20418,32479,417069,52,52,632,632,1013,0.8269230769230769,2.8983538971265115
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,169,412,394860,20209,26305,390720,46,46,545,545,1022,0.8125,2.867890705927876
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,175,412,280599,20738,23234,451749,52,52,569,569,1014,0.8413461538461539,2.8532633802975567
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,179,412,330453,20248,22845,369303,56,56,553,553,1024,0.8605769230769231,2.876432969338077
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,168,412,366624,20795,26036,444019,47,47,460,460,1004,0.8076923076923077,2.8356237155535196
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,170,412,420380,21041,30513,397662,50,50,562,562,1018,0.8173076923076923,2.8448920003344345
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,172,412,336874,20281,26758,367559,56,56,639,639,1029,0.8269230769230769,2.8012238171427737
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,181,412,342001,21034,26813,420126,59,59,694,694,1009,0.8701923076923077,2.8307792247427463
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,169,412,386091,20440,32212,408780,51,51,430,430,1023,0.8125,2.8137023051445
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,182,412,476386,20041,36059,455330,50,50,593,593,1007,0.875,2.9413919495794816
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,174,412,391496,20820,27480,391130,52,52,613,613,1019,0.8365384615384616,2.834500136568616
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,175,412,363447,20840,29339,452149,55,55,540,540,1000,0.8413461538461539,2.861390232885884
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,176,412,403527,20563,30652,416179,52,52,559,559,1006,0.8461538461538461,2.8328773477031213
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,168,412,403810,21017,29584,406842,50,50,564,564,1011,0.8076923076923077,2.8284107215916716
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,180,412,311309,20696,23671,365914,53,53,565,565,1012,0.8653846153846154,2.8612864330043704
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,184,412,357544,20558,27878,414454,54,54,529,529,1016,0.8846153846153846,2.809739729189792
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,174,412,370943,20398,22519,344616,55,55,674,674,1015,0.8365384615384616,2.8447241664892884
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,171,412,404717,20855,34459,465468,55,55,459,459,1005,0.8221153846153846,2.838010145618908
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,166,412,333996,21052,26093,326908,44,44,554,554,1010,0.7980769230769231,2.78951134733714
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,56889,36224,37058,163035,4,4,15,15,1009,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,101730,36309,37177,265522,4,4,19,19,1024,0.4666666666666667,0.7945134575869863
